time	soil_moist(1)	soil_moist(2)	soil_moist(3)	soil_rechr(1)	soil_rechr(2)	soil_rechr(3)	SWE(1)	SWE(2)	SWE(3)
27056.125	229.694	219.496	219.278	49.6944	39.4956	39.2782	90.8387	117.19	140.993
27056.16667	229.694	219.496	219.278	49.6944	39.4956	39.2782	90.88	117.231	141.034
27056.20833	229.694	219.496	219.278	49.6944	39.4956	39.2782	90.9213	117.273	141.076
27056.25	229.694	219.496	219.278	49.6944	39.4956	39.2782	90.9627	117.314	141.117
27056.29167	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.004	117.355	141.158
27056.33333	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.0453	117.397	141.2
27056.375	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.0866	117.438	141.241
27056.41667	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.1279	117.479	141.282
27056.45833	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.1692	117.52	141.324
27056.5	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.1896	117.541	141.344
27056.54167	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.1944	117.546	141.349
27056.58333	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.198	117.549	141.352
27056.625	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.2156	117.567	141.37
27056.66667	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.2029	117.554	141.357
27056.70833	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.1901	117.541	141.345
27056.75	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.2064	117.558	141.361
27056.79167	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.2374	117.589	141.392
27056.83333	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.2787	117.63	141.433
27056.875	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.3201	117.671	141.475
27056.91667	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.3614	117.713	141.516
27056.95833	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.4027	117.754	141.557
27057	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.444	117.795	141.599
27057.04167	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.444	117.795	141.599
27057.08333	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.444	117.795	141.599
27057.125	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.43	117.781	141.585
27057.16667	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.4231	117.774	141.578
27057.20833	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.4193	117.77	141.574
27057.25	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.4193	117.77	141.574
27057.29167	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.4089	117.76	141.563
27057.33333	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.4089	117.76	141.563
27057.375	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.4089	117.76	141.563
27057.41667	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.408	117.759	141.563
27057.45833	229.694	219.496	219.278	49.6944	39.4956	39.2782	91.4042	117.755	141.559
