time	SWE(1)	SWE(2)	SWE(3)
units	(mm)	(mm)	(mm)
27133.41667	23.0451	98.9456	329.569
27133.45833	23.0451	98.9456	329.569
27133.5	23.0451	98.9456	329.569
27133.54167	23.0451	98.9456	329.569
27133.58333	23.0451	98.9456	329.569
27133.625	23.0451	98.9456	329.569
27133.66667	23.0451	98.9456	329.569
27133.70833	23.0451	98.9456	329.569
27133.75	23.0451	98.9456	329.569
27133.79167	23.0451	98.9456	329.569
27133.83333	23.0451	98.9456	329.569
27133.875	23.0451	98.9456	329.569
27133.91667	23.0451	98.9456	329.569
27133.95833	23.0451	98.9456	329.569
27134	11.7122	98.9456	329.569
27134.04167	11.7122	98.9456	329.569
27134.08333	11.7122	98.9456	329.569
27134.125	11.7122	98.9456	329.569
27134.16667	11.7122	98.9456	329.569
27134.20833	11.7122	98.9456	329.569
27134.25	11.7122	98.9456	329.569
27134.29167	11.7122	98.9456	329.569
27134.33333	11.7122	98.9414	329.565
27134.375	11.7122	98.936	329.56
27134.41667	11.7122	98.936	329.56
27134.45833	11.7122	98.9297	329.553
27134.5	11.7122	98.9297	329.553
27134.54167	11.7122	98.9297	329.553
27134.58333	11.7122	98.9297	329.553
27134.625	11.7122	98.9297	329.553
27134.66667	11.7122	98.9297	329.553
27134.70833	11.7122	98.9297	329.553
27134.75	11.7122	98.9297	329.553
27134.79167	11.7122	98.9297	329.553
27134.83333	11.7122	98.9297	329.553
27134.875	11.7122	98.9297	329.553
27134.91667	11.7122	98.9297	329.553
27134.95833	11.7122	98.9297	329.553
27135	0	98.9297	329.553
27135.04167	0	98.9297	329.553
27135.08333	0	98.9297	329.553
27135.125	0	98.9297	329.553
27135.16667	0	98.9297	329.553
27135.20833	0	98.9297	329.553
27135.25	0	98.9297	329.553
27135.29167	0	98.9297	329.553
27135.33333	0	98.9297	329.553
27135.375	0	98.9297	329.553
27135.41667	0	98.9297	329.553
27135.45833	0	98.9297	329.553
27135.5	0	98.9297	329.553
27135.54167	0	98.9297	329.553
27135.58333	0	98.9297	329.553
27135.625	0	98.9297	329.553
27135.66667	0	98.9297	329.553
27135.70833	0	98.9297	329.553
27135.75	0	98.9297	329.553
27135.79167	0	98.9297	329.553
27135.83333	0	98.9297	329.553
27135.875	0	98.9297	329.553
27135.91667	0	98.9297	329.553
27135.95833	0	98.9297	329.553
27136	0	98.9297	329.553
27136.04167	0	98.9297	329.553
27136.08333	0	98.9297	329.553
27136.125	0	98.9297	329.553
27136.16667	0	98.9297	329.553
27136.20833	0	98.9297	329.553
27136.25	0	98.9297	329.553
27136.29167	0	98.9297	329.553
27136.33333	0	98.9297	329.553
27136.375	0	98.9297	329.553
27136.41667	0	98.9297	329.553
27136.45833	0	98.9297	329.553
27136.5	0	98.9297	329.553
27136.54167	0	98.9297	329.553
27136.58333	0	98.9297	329.553
27136.625	0	98.9297	329.553
27136.66667	0	98.9297	329.553
27136.70833	0	98.9297	329.553
27136.75	0	98.9297	329.553
27136.79167	0	98.9297	329.553
27136.83333	0	98.9297	329.553
27136.875	0	98.9297	329.553
27136.91667	0	98.9297	329.553
27136.95833	0	98.9297	329.553
27137	0	98.9297	329.553
27137.04167	0	98.9297	329.553
27137.08333	0	98.9297	329.553
27137.125	0	98.9297	329.553
27137.16667	0	98.9297	329.553
27137.20833	0	98.9297	329.553
27137.25	0	98.9297	329.553
27137.29167	0	98.925	329.549
27137.33333	0	98.9097	329.533
27137.375	0	98.9097	329.533
27137.41667	0	98.8909	329.515
27137.45833	0	98.8909	329.515
27137.5	0	98.8909	329.515
27137.54167	0	98.8909	329.515
27137.58333	0	98.8909	329.515
27137.625	0	98.8909	329.515
27137.66667	0	98.8909	329.515
27137.70833	0	98.8909	329.515
27137.75	0	98.8909	329.515
27137.79167	0	98.8909	329.515
27137.83333	0	98.8909	329.515
27137.875	0	98.8909	329.515
27137.91667	0	98.8909	329.515
27137.95833	0	98.8738	329.497
27138	0	98.8738	329.497
27138.04167	0	98.8738	329.497
27138.08333	0	98.8738	329.497
27138.125	0	98.8738	329.497
27138.16667	0	98.8738	329.497
27138.20833	0	98.8738	329.497
27138.25	0	98.8738	329.497
27138.29167	0	98.8738	329.497
27138.33333	0	98.8738	329.497
27138.375	0	98.8738	329.497
27138.41667	0	98.8738	329.497
27138.45833	0	98.8738	329.497
27138.5	0	98.8738	329.497
27138.54167	0	98.8738	329.497
27138.58333	0	98.8738	329.497
27138.625	0	98.8738	329.497
27138.66667	0	98.8738	329.497
27138.70833	0	98.8738	329.497
27138.75	0	98.8738	329.497
27138.79167	0	98.8738	329.497
27138.83333	0	98.8738	329.497
27138.875	0	98.8738	329.497
27138.91667	0	98.8738	329.497
27138.95833	0	98.8738	329.497
27139	0	98.8738	329.497
27139.04167	0	98.8738	329.497
27139.08333	0	98.8738	329.497
27139.125	0	98.8738	329.497
27139.16667	0	98.8738	329.497
27139.20833	0	98.8738	329.497
27139.25	0	98.8738	329.497
27139.29167	0	98.8738	329.497
27139.33333	0	98.8738	329.497
27139.375	0	98.8738	329.497
27139.41667	0	98.8738	329.497
27139.45833	0	98.8738	329.497
27139.5	0	98.8738	329.497
27139.54167	0	98.8738	329.497
27139.58333	0	98.8738	329.497
27139.625	0	98.8738	329.497
27139.66667	0	98.8738	329.497
27139.70833	0	98.8738	329.497
27139.75	0	98.8738	329.497
27139.79167	0	98.8738	329.497
27139.83333	0	98.8738	329.497
27139.875	0	98.8738	329.497
27139.91667	0	98.8738	329.497
27139.95833	0	98.8738	329.497
27140	0	98.8738	329.497
27140.04167	0	98.8738	329.497
27140.08333	0	98.8738	329.497
