time	soil_moist(1)	SWE(1)
units	(mm)	(mm)
27363.70833	375	2.67172
27363.75	375	2.67172
27363.79167	375	2.67172
27363.83333	375	2.67172
27363.875	375	2.67172
27363.91667	375	2.67172
27363.95833	375	2.67172
27364	375	2.54857
27364.04167	375	2.54857
27364.08333	375	2.54857
27364.125	375	2.54857
27364.16667	375	2.54857
27364.20833	375	2.54857
27364.25	375	2.54857
27364.29167	375	2.54857
27364.33333	375	2.54857
27364.375	375	2.54857
27364.41667	375	2.54857
27364.45833	375	2.54857
27364.5	375	2.54857
27364.54167	375	2.54857
27364.58333	375	2.54857
27364.625	375	2.54857
27364.66667	375	2.54857
27364.70833	375	2.54857
27364.75	375	2.54857
27364.79167	375	2.54857
27364.83333	375	2.54857
27364.875	375	2.54857
27364.91667	375	2.54857
27364.95833	375	2.54857
27365	375	2.63721
27365.04167	375	2.63721
27365.08333	375	2.63721
27365.125	375	2.63721
27365.16667	375	2.63721
27365.20833	375	2.63721
27365.25	375	2.63721
27365.29167	375	2.63721
27365.33333	375	2.63721
27365.375	375	2.63721
27365.41667	375	2.63721
27365.45833	375	2.63721
27365.5	375	2.63721
27365.54167	375	2.63721
27365.58333	375	2.63721
27365.625	375	2.63721
27365.66667	375	2.63721
27365.70833	375	2.63721
27365.75	375	2.63721
27365.79167	375	2.63721
27365.83333	375	2.63721
27365.875	375	2.63721
27365.91667	375	2.63721
27365.95833	375	2.63721
27366	375	2.67172
27366.04167	375	2.67172
27366.08333	375	2.67172
27366.125	375	2.67172
27366.16667	375	2.67172
27366.20833	375	2.67172
27366.25	375	2.67172
27366.29167	375	2.67172
27366.33333	375	2.67172
27366.375	375	2.67172
27366.41667	375	2.67172
27366.45833	375	2.67172
27366.5	375	2.67172
27366.54167	375	2.67172
27366.58333	375	2.67172
27366.625	375	2.67172
27366.66667	375	2.67172
27366.70833	375	2.67172
27366.75	375	2.67172
27366.79167	375	2.67172
27366.83333	375	2.67172
27366.875	375	2.67172
27366.91667	375	2.67172
27366.95833	375	2.67172
27367	375	2.67172
27367.04167	375	2.67172
27367.08333	375	2.67172
27367.125	375	2.67172
27367.16667	375	2.67172
27367.20833	375	2.67172
27367.25	375	2.67172
27367.29167	375	2.67172
27367.33333	375	2.67172
27367.375	375	2.67172
27367.41667	375	2.67172
27367.45833	375	2.67172
27367.5	375	2.67172
27367.54167	375	2.67172
27367.58333	375	2.67172
27367.625	375	2.67172
27367.66667	375	2.67172
27367.70833	375	2.67172
27367.75	375	2.67172
27367.79167	375	2.67172
27367.83333	375	2.67172
27367.875	375	2.67172
27367.91667	375	2.67172
27367.95833	375	2.67172
27368	375	2.67172
27368.04167	375	2.67172
27368.08333	375	2.67172
27368.125	375	2.67172
27368.16667	375	2.67172
27368.20833	375	2.67172
27368.25	375	2.67172
27368.29167	375	2.67172
